name,cod_distrito,distrito,geometry
Bayres Beef,1,Centro,POINT (-3.7025402 40.4151546)
Bazaar,1,Centro,POINT (-3.6974316 40.4213233)
Be Beirut,1,Centro,POINT (-3.7072714 40.4121093)
Beata Pasta - Gran Vía,1,Centro,POINT (-3.700246 40.4201195)
Beaucoup!,6,Tetuán,POINT (-3.6875365 40.462861)
Beef Place Restaurante,15,Ciudad Lineal,POINT (-3.6582654 40.4589881)
Beefcious,8,Fuencarral-El Pardo,POINT (-3.6702707 40.5119108)
Beefcious,18,Villa de Vallecas,POINT (-3.6095522 40.3690735)
Beefcious,19,Vicálvaro,POINT (-3.5650554 40.402455)
Beeficious,16,Hortaleza,POINT (-3.615227 40.4943533)
Beirut,2,Arganzuela,POINT (-3.7010602 40.4069083)
Beirut,2,Arganzuela,POINT (-3.7016712 40.4064699)
Beker6,4,Salamanca,POINT (-3.6870916 40.4360727)
Bel Mondo,4,Salamanca,POINT (-3.6842561 40.426088)
Bella Ciao,10,Latina,POINT (-3.7596583 40.3949086)
Bella Vista,1,Centro,POINT (-3.7075828 40.4136642)
Belli di mamma,1,Centro,POINT (-3.6991084 40.4152077)
Ben-A-Ber,10,Latina,POINT (-3.7645469 40.393323)
Bendita Locura,4,Salamanca,POINT (-3.6795247 40.4350751)
Benditos Sueños,6,Tetuán,POINT (-3.6904814 40.4609686)
Bengol India,2,Arganzuela,POINT (-3.6946606 40.4063011)
Benjis Bar,9,Moncloa-Aravaca,POINT (-3.7947991 40.4678138)
Benjis. bar,9,Moncloa-Aravaca,POINT (-3.7945606 40.4674777)
